id,Label,latitude,longitude
509,KAUG,44.320598602299995,-69.7973022461
510,KAUS,30.194499969482425,-97.6698989868164
511,KAVL,35.43619918823242,-82.54180145263672
512,KAVP,41.338500976599995,-75.72339630130001
513,KAZO,42.234901428222656,-85.5521011352539
514,KBDL,41.9388999939,-72.68319702149999
515,KBFF,41.87400055,-103.5960007
516,KBFL,35.43360138,-119.0569992
517,KBGM,42.20869827,-75.97979736
518,KBGR,44.80739974975586,-68.82810211181639
519,KBHB,44.45000076,-68.36150359999999
520,KBHM,33.56290054,-86.75350189
521,KBIL,45.807701110839844,-108.54299926757812
522,KBIS,46.77270126342773,-100.74600219726562
523,KBJI,47.50939941,-94.93370056
524,KBLI,48.79280090332031,-122.53800201416016
525,KBLV,38.5452,-89.835197
526,KBMI,40.47710037,-88.91590118
527,KBNA,36.1245002746582,-86.6781997680664
528,KBOI,43.5644,-116.223
529,KBOS,42.36429977,-71.00520325
530,KBPT,29.9507999420166,-94.02069854736328
531,KBRD,46.39830017,-94.13809967
532,KBRL,40.783199310302734,-91.12550354003906
533,KBRO,25.90679931640625,-97.4259033203125
534,KBTM,45.95479965209961,-112.49700164794922
535,KBTR,30.533199,-91.149597
536,KBTV,44.471900939899996,-73.15329742429998
537,KBUF,42.94049835,-78.73220062
538,KBUR,34.200698852539055,-118.35900115966795
539,KBWI,39.1754,-76.668297
540,KBZN,45.77750015,-111.15299990000001
541,KCAE,33.93880081176758,-81.11949920654297
542,KCAK,40.916099548339844,-81.44219970703125
543,KCDC,37.70100021362305,-113.0989990234375
544,KCDR,42.837600708000004,-103.095001221
545,KCEZ,37.3030014038,-108.627998352
546,KCHA,35.03530120849609,-85.20379638671875
547,KCHO,38.13859939575195,-78.4529037475586
548,KCHS,32.89860153,-80.04049683
549,KCID,41.88470077514648,-91.71080017089844
550,KCIU,46.25080108642578,-84.47239685058594
551,KCKB,39.2966003418,-80.2281036377
552,KCLE,41.411701202399996,-81.8498001099
553,KCLL,30.58860016,-96.36380005
554,KCLT,35.2140007019043,-80.94309997558594
555,KCMH,39.998001,-82.891899
556,KCMI,40.03919983,-88.27809906
557,KCMX,47.16839981079102,-88.48909759521484
558,KCOD,44.520198822,-109.024002075
559,KCOS,38.805801,-104.70099599999999
560,KCOU,38.81809997558594,-92.21959686279295
561,KCPR,42.908001,-106.46399699999999
562,KCRP,27.77039909362793,-97.5011978149414
563,KCRQ,33.12829971,-117.27999879999999
564,KCRW,38.37310028076172,-81.59320068359375
565,KCVG,39.0488014221,-84.6678009033
566,KCWA,44.7775993347,-89.6668014526
567,KCYS,41.15570068,-104.81199649999999
568,KDAL,32.847099,-96.851799
569,KDAY,39.90240097045898,-84.21939849853516
570,KDBQ,42.40200043,-90.70950317
571,KDCA,38.8521,-77.037697
572,KDDC,37.76340103149414,-99.9655990600586
573,KDEC,39.83459854125977,-88.8656997680664
574,KDEN,39.861698150635,-104.672996521
575,KDFW,32.896801,-97.038002
576,KDLH,46.8420982361,-92.19360351559999
577,KDRO,37.1515007019,-107.75399780299999
578,KDSM,41.53400039672852,-93.66310119628906
579,KDTW,42.212398529052734,-83.35340118408203
580,KEAT,47.3988990784,-120.20700073200001
581,KEAU,44.86579895019531,-91.48429870605469
582,KECP,30.357105999999998,-85.79541400000001
583,KEKO,40.82490158081055,-115.79199981689452
584,KELD,33.22100067138672,-92.81330108642578
585,KELM,42.1599006652832,-76.8916015625
586,KELP,31.80719948,-106.37799840000002
587,KERI,42.0831270134,-80.1738667488
588,KEUG,44.12459945678711,-123.21199798583984
589,KEVV,38.0369987488,-87.53240203860001
590,KEWB,41.67610168457031,-70.95690155029297
591,KEWR,40.69250106811523,-74.168701171875
592,KEYW,24.556100845336914,-81.75959777832031
593,KFAR,46.92070007324219,-96.81580352783205
594,KFAT,36.77619934082031,-119.71800231933594
595,KFAY,34.991199493408196,-78.88030242919922
596,KFLG,35.13850021,-111.6709976
597,KFLL,26.072599,-80.152702
598,KFNT,42.96540069580078,-83.74359893798828
599,KFSD,43.5820007324,-96.741897583
600,KFWA,40.97850037,-85.19509888
601,KGCN,35.95240020751953,-112.14700317382812
602,KGEG,47.61989974975586,-117.53399658203124
603,KGFK,47.949298999999996,-97.176102
604,KGJT,39.1223983765,-108.527000427
605,KGNV,29.6900997162,-82.27179718020001
606,KGPI,48.31050109863281,-114.25599670410156
607,KGPT,30.40730094909668,-89.07009887695312
608,KGRB,44.48509979248047,-88.12960052490234
609,KGRI,40.96749877929688,-98.30960083007812
610,KGRK,31.067199706999997,-97.8289031982
611,KGRR,42.88079834,-85.52279663
612,KGSO,36.097801208496094,-79.93730163574219
613,KGSP,34.895698547399995,-82.2189025879
614,KGTF,47.48199844,-111.3710022
615,KHIB,47.38660049,-92.83899689
616,KHLN,46.6068000793457,-111.98300170898438
617,KHOB,32.6875,-103.21700290000001
618,KHOU,29.64539909,-95.27890015
619,KHPN,41.06700134277344,-73.70760345458984
620,KHRL,26.228500366210934,-97.65440368652344
621,KHRO,36.26150131225586,-93.15470123291016
622,KHSV,34.637199401855,-86.775100708008
623,KHTS,38.36669922,-82.55799866
624,KHVN,41.26369858,-72.88680267
625,KIAD,38.94449997,-77.45580292
626,KIAG,43.1072998046875,-78.94619750976562
627,KIAH,29.98439979553223,-95.34140014648438
628,KICT,37.649899,-97.433098
629,KIDA,43.514599,-112.070999
630,KILM,34.27059936523437,-77.90260314941406
